n_el  name       dist[m]     Energy[MeV/u] (W-Wtmp)/Wtmp,%   x_rms[cm]      y_rms[cm]      Xmax[cm]       Ymax[cm]     phi_rms[deg]   phi_max[deg]   DW/W[rel.u.]   4*exn_rms[cm*mrad]   exn99.0[cm*mrad]    exn_max[cm*mrad]   4*eyn_rms[cm*mrad]   eyn99.0[cm*mrad]    eyn_max[cm*mrad]   4*ezn_rms[keV/u*ns]  ezn99.0[keV/u*ns]    ezn_max[keV/u*ns]     Xc[cm]       X'c[mrad]        Yc[cm]       Y'c[mrad]        btgm          Zc[deg]          a_x        b_x[cm/mrad]       a_y        b_y[cm/mrad]       a_z        b_z[deg/(%ofD_W/W)]  #of_part_lost  #of_part_left 
  30  drift  0.132850E+02   0.971959E+01  -0.418814E-02   0.771318E+00   0.108849E+01   0.146117E+01   0.226680E+01   0.102919E+03   0.179797E+03   0.592067E-03      0.201998E+00        0.273819E+00        0.310453E+00        0.286156E+00        0.397048E+00        0.472676E+00        0.602335E+02        0.765477E+02        0.933509E+02    -0.376102E-02   0.247725E-01  -0.630450E-01   0.688940E-01   0.144840E+00  -0.383652E+01   0.868727E+01   0.170635E+01   0.332587E+01   0.239878E+01  -0.493610E-01      0.174042E+04     0.000000E+00    0.103700E+04
  31  drift  0.136350E+02   0.971959E+01  -0.418814E-02   0.634074E+00   0.103579E+01   0.121729E+01   0.217745E+01   0.102915E+03   0.179808E+03   0.592067E-03      0.201998E+00        0.273819E+00        0.310453E+00        0.286156E+00        0.397048E+00        0.472676E+00        0.602335E+02        0.765469E+02        0.933499E+02    -0.289399E-02   0.247725E-01  -0.606337E-01   0.688940E-01   0.144840E+00  -0.382698E+01   0.711877E+01   0.115313E+01   0.314989E+01   0.217213E+01  -0.484532E-01      0.174027E+04     0.000000E+00    0.103700E+04
  32  drift  0.149050E+02   0.971959E+01  -0.418814E-02   0.153723E+00   0.847196E+00   0.360857E+00   0.185324E+01   0.102910E+03   0.179875E+03   0.592067E-03      0.201998E+00        0.273819E+00        0.310453E+00        0.286156E+00        0.397048E+00        0.472676E+00        0.602302E+02        0.769657E+02        0.938606E+02     0.252115E-03   0.247725E-01  -0.518841E-01   0.688940E-01   0.144840E+00  -0.344522E+01   0.142736E+01   0.677763E-01   0.251131E+01   0.145316E+01  -0.487274E-01      0.174022E+04     0.000000E+00    0.103700E+04
  33  drift  0.159050E+02   0.971959E+01  -0.418814E-02   0.283456E+00   0.703207E+00   0.558781E+00   0.159795E+01   0.102897E+03   0.179878E+03   0.592067E-03      0.201998E+00        0.273819E+00        0.310453E+00        0.286156E+00        0.397048E+00        0.472676E+00        0.602300E+02        0.769634E+02        0.938578E+02     0.272936E-02   0.247725E-01  -0.449947E-01   0.688940E-01   0.144840E+00  -0.341797E+01  -0.305407E+01   0.230448E+00   0.200850E+01   0.100118E+01  -0.461335E-01      0.173978E+04     0.000000E+00    0.103700E+04
  34  slit   0.159050E+02   0.971957E+01  -0.444396E-02   0.283992E+00   0.619561E+00   0.558781E+00   0.119939E+01   0.102851E+03   0.179878E+03   0.592188E-03      0.203351E+00        0.274727E+00        0.304576E+00        0.257080E+00        0.343073E+00        0.410375E+00        0.601919E+02        0.781126E+02        0.951433E+02     0.229745E-02  -0.305650E-02  -0.299470E-01   0.402857E-01   0.144840E+00  -0.279892E+01  -0.303275E+01   0.229781E+00   0.183387E+01   0.865064E+00  -0.537971E-01      0.173930E+04     0.820000E+02    0.955000E+03
  35  drift  0.162550E+02   0.971957E+01  -0.444396E-02   0.417428E+00   0.574139E+00   0.772101E+00   0.114881E+01   0.102845E+03   0.179889E+03   0.592188E-03      0.203351E+00        0.274727E+00        0.304576E+00        0.257080E+00        0.343073E+00        0.410375E+00        0.601919E+02        0.781118E+02        0.951423E+02     0.219047E-02  -0.305650E-02  -0.285370E-01   0.402857E-01   0.144840E+00  -0.278903E+01  -0.458603E+01   0.496439E+00   0.165734E+01   0.742871E+00  -0.528889E-01      0.173913E+04     0.000000E+00    0.955000E+03
  36  drift  0.166050E+02   0.971957E+01  -0.444396E-02   0.553177E+00   0.529998E+00   0.992367E+00   0.109823E+01   0.102840E+03   0.179900E+03   0.592188E-03      0.203351E+00        0.274727E+00        0.304576E+00        0.257080E+00        0.343073E+00        0.410375E+00        0.601918E+02        0.781110E+02        0.951413E+02     0.208349E-02  -0.305650E-02  -0.271270E-01   0.402857E-01   0.144840E+00  -0.277914E+01  -0.613932E+01   0.871826E+00   0.148082E+01   0.633036E+00  -0.519806E-01      0.173896E+04     0.000000E+00    0.955000E+03
  37  slit   0.166050E+02   0.971957E+01  -0.444396E-02   0.553177E+00   0.529998E+00   0.992367E+00   0.109823E+01   0.102840E+03   0.179900E+03   0.592188E-03      0.203351E+00        0.274727E+00        0.304576E+00        0.257080E+00        0.343073E+00        0.410375E+00        0.601918E+02        0.781110E+02        0.951413E+02     0.208349E-02  -0.305650E-02  -0.271270E-01   0.402857E-01   0.144840E+00  -0.277914E+01  -0.613932E+01   0.871826E+00   0.148082E+01   0.633036E+00  -0.519806E-01      0.173896E+04     0.000000E+00    0.955000E+03
  38  drift  0.171050E+02   0.971957E+01  -0.444396E-02   0.748620E+00   0.469877E+00   0.134147E+01   0.102596E+01   0.102834E+03   0.179959E+03   0.592188E-03      0.203351E+00        0.274727E+00        0.304576E+00        0.257080E+00        0.343073E+00        0.410375E+00        0.601918E+02        0.781099E+02        0.951399E+02     0.193067E-02  -0.305650E-02  -0.251127E-01   0.402857E-01   0.144840E+00  -0.276501E+01  -0.835829E+01   0.159671E+01   0.122863E+01   0.497563E+00  -0.506830E-01      0.173873E+04     0.000000E+00    0.955000E+03
  39  slit   0.171050E+02   0.971957E+01  -0.444396E-02   0.748620E+00   0.469877E+00   0.134147E+01   0.102596E+01   0.102834E+03   0.179959E+03   0.592188E-03      0.203351E+00        0.274727E+00        0.304576E+00        0.257080E+00        0.343073E+00        0.410375E+00        0.601918E+02        0.781099E+02        0.951399E+02     0.193067E-02  -0.305650E-02  -0.251127E-01   0.402857E-01   0.144840E+00  -0.276501E+01  -0.835829E+01   0.159671E+01   0.122863E+01   0.497563E+00  -0.506830E-01      0.173873E+04     0.000000E+00    0.955000E+03
