       z[cm]          X-avg[cm]        X'-avg[mrad]       Y-avg[cm]        Y'-avg[mrad]      Phi-avg[deg]      W-avg[MeV/u]       X-rms[cm]        X'-rms[mrad]       Y-rms[cm]        Y'-rms[mrad]      Phi-rms[deg]      dW/W-rms[%]        X-max[cm]        X'-max[mrad]       Y-max[cm]        Y'-max[mrad]      Phi-max[deg]      dW/W-max[%]      X-emi[cm*mrad]    Y-emi[cm*mrad]    Z-emi[keV/u*ns] 
  0.672000000E+02   0.527050625E-06   0.170084097E-04   0.263368360E-06  -0.389043489E-04   0.180845882E-02   0.585999999E+01   0.395400078E+00   0.108236835E+02   0.367822916E+00   0.429896356E+01   0.104270797E+03   0.582911143E-01   0.950954013E+00   0.262600289E+02   0.894595281E+00   0.103660205E+02   0.179990259E+03   0.102284870E+00   0.167321045E+00   0.174995772E+00   0.906612665E+01
  0.674500000E+02   0.531348586E-06   0.173735096E-04   0.253451159E-06  -0.404296415E-04   0.181199816E-02   0.585999999E+01   0.397964631E+00   0.110241655E+02   0.367614717E+00   0.433712679E+01   0.104270796E+03   0.582911143E-01   0.957296581E+00   0.267500320E+02   0.894312036E+00   0.104174396E+02   0.179989386E+03   0.102284870E+00   0.167321882E+00   0.174996093E+00   0.906612712E+01
  0.677000000E+02   0.535736475E-06   0.177277437E-04   0.243155407E-06  -0.419325266E-04   0.181566062E-02   0.585999999E+01   0.400584929E+00   0.112266139E+02   0.367360127E+00   0.438331245E+01   0.104270794E+03   0.582911143E-01   0.963768033E+00   0.272436562E+02   0.893908515E+00   0.105013378E+02   0.179988511E+03   0.102284870E+00   0.167322747E+00   0.174996436E+00   0.906612760E+01
  0.679500000E+02   0.540211505E-06   0.180705401E-04   0.232486879E-06  -0.434116149E-04   0.181945127E-02   0.585999999E+01   0.403261283E+00   0.114310304E+02   0.367059184E+00   0.443724576E+01   0.104270793E+03   0.582911143E-01   0.970369245E+00   0.277409685E+02   0.893384771E+00   0.106644385E+02   0.179987634E+03   0.102284870E+00   0.167323639E+00   0.174996802E+00   0.906612809E+01
  0.682000000E+02   0.544770742E-06   0.184013012E-04   0.221451698E-06  -0.448655220E-04   0.182337528E-02   0.585999999E+01   0.405994010E+00   0.116374189E+02   0.366711937E+00   0.449861979E+01   0.104270792E+03   0.582911143E-01   0.977101112E+00   0.282420369E+02   0.892740874E+00   0.108309353E+02   0.179986755E+03   0.102284870E+00   0.167324561E+00   0.174997191E+00   0.906612861E+01
  0.684500000E+02   0.549411100E-06   0.187194029E-04   0.210056331E-06  -0.462928689E-04   0.182743784E-02   0.585999999E+01   0.408783437E+00   0.118457849E+02   0.366318440E+00   0.456710244E+01   0.104270792E+03   0.582911143E-01   0.983964546E+00   0.287469296E+02   0.891976911E+00   0.110113842E+02   0.179985872E+03   0.102284870E+00   0.167325511E+00   0.174997602E+00   0.906612913E+01
  0.687000000E+02   0.554129334E-06   0.190241930E-04   0.198307591E-06  -0.476922837E-04   0.183164421E-02   0.585999999E+01   0.411629899E+00   0.120561353E+02   0.365878758E+00   0.464234335E+01   0.104270791E+03   0.582911143E-01   0.990960475E+00   0.292557155E+02   0.891092984E+00   0.111903538E+02   0.179984986E+03   0.102284870E+00   0.167326491E+00   0.174998036E+00   0.906612967E+01
  0.689500000E+02   0.558922031E-06   0.193149907E-04   0.186212631E-06  -0.490624018E-04   0.183599972E-02   0.585999999E+01   0.414533736E+00   0.122684789E+02   0.365392959E+00   0.472398032E+01   0.104270791E+03   0.582911143E-01   0.998089850E+00   0.297684640E+02   0.890089211E+00   0.113678199E+02   0.179984681E+03   0.102284870E+00   0.167327501E+00   0.174998494E+00   0.906613023E+01
  0.692000000E+02   0.563785604E-06   0.195910850E-04   0.173778945E-06  -0.504018669E-04   0.184050976E-02   0.585999999E+01   0.417495301E+00   0.124828257E+02   0.364861120E+00   0.481164526E+01   0.104270791E+03   0.582911143E-01   0.100535363E+01   0.302852452E+02   0.888965726E+00   0.115497474E+02   0.179984809E+03   0.102284870E+00   0.167328541E+00   0.174998974E+00   0.906613081E+01
  0.694500000E+02   0.568716287E-06   0.198517342E-04   0.161014364E-06  -0.517093323E-04   0.184517976E-02   0.585999999E+01   0.420514952E+00   0.126991870E+02   0.364283328E+00   0.490496934E+01   0.104270791E+03   0.582911143E-01   0.101275281E+01   0.308061296E+02   0.887722680E+00   0.118009033E+02   0.179984919E+03   0.102284870E+00   0.167329613E+00   0.174999478E+00   0.906613140E+01
  0.697000000E+02   0.573710120E-06   0.200961638E-04   0.147927056E-06  -0.529834613E-04   0.185001524E-02   0.585999999E+01   0.423593054E+00   0.129175757E+02   0.363659673E+00   0.500358737E+01   0.104270791E+03   0.582911143E-01   0.102028839E+01   0.313311883E+02   0.886360239E+00   0.120631269E+02   0.179985011E+03   0.102284870E+00   0.167330716E+00   0.175000005E+00   0.906613201E+01
  0.699500000E+02   0.578762950E-06   0.203235663E-04   0.134525522E-06  -0.542229281E-04   0.185502176E-02   0.585999999E+01   0.426729984E+00   0.131380056E+02   0.362990256E+00   0.510714144E+01   0.104270791E+03   0.582911143E-01   0.102796139E+01   0.318604932E+02   0.884878585E+00   0.123237307E+02   0.179985084E+03   0.102284870E+00   0.167331850E+00   0.175000555E+00   0.906613264E+01
  0.702000000E+02   0.583870414E-06   0.205330991E-04   0.120818590E-06  -0.554264188E-04   0.186020497E-02   0.585999999E+01   0.429926125E+00   0.133604920E+02   0.362275184E+00   0.521528374E+01   0.104270792E+03   0.582911143E-01   0.103577285E+01   0.323941166E+02   0.883277917E+00   0.125826797E+02   0.179985138E+03   0.102284870E+00   0.167333018E+00   0.175001129E+00   0.906613329E+01
  0.704500000E+02   0.589027937E-06   0.207238837E-04   0.106815419E-06  -0.565926320E-04   0.186557055E-02   0.585999999E+01   0.433181869E+00   0.135850509E+02   0.361514571E+00   0.532767876E+01   0.104270793E+03   0.582911143E-01   0.104372383E+01   0.329321316E+02   0.881558449E+00   0.128399391E+02   0.179985172E+03   0.102284870E+00   0.167334219E+00   0.175001726E+00   0.906613395E+01
  0.707000000E+02   0.594230718E-06   0.208950041E-04   0.925254883E-07  -0.577202799E-04   0.187112428E-02   0.585999999E+01   0.436497616E+00   0.138116998E+02   0.360708540E+00   0.544400478E+01   0.104270794E+03   0.582911143E-01   0.105181540E+01   0.334746117E+02   0.879720410E+00   0.130954741E+02   0.179985187E+03   0.102284870E+00   0.167335453E+00   0.175002347E+00   0.906613464E+01
  0.709500000E+02   0.599473721E-06   0.210455055E-04   0.779585991E-07  -0.588080886E-04   0.187687199E-02   0.585999999E+01   0.439873776E+00   0.140404569E+02   0.359857219E+00   0.556395492E+01   0.104270795E+03   0.582911143E-01   0.106004868E+01   0.340216313E+02   0.877764048E+00   0.133492506E+02   0.179985181E+03   0.102284870E+00   0.167336721E+00   0.175002992E+00   0.906613534E+01
  0.712000000E+02   0.604751669E-06   0.211743929E-04   0.631248689E-07  -0.598547991E-04   0.188281959E-02   0.585999999E+01   0.443310766E+00   0.142713416E+02   0.358960747E+00   0.568723766E+01   0.104270797E+03   0.582911143E-01   0.106842476E+01   0.345732653E+02   0.875689622E+00   0.136012344E+02   0.179985155E+03   0.102284870E+00   0.167338025E+00   0.175003660E+00   0.906613606E+01
  0.714500000E+02   0.610059030E-06   0.212806298E-04   0.480347281E-07  -0.608591683E-04   0.188897306E-02   0.585999999E+01   0.446809012E+00   0.145043740E+02   0.358019267E+00   0.581357705E+01   0.104270799E+03   0.582911143E-01   0.107694480E+01   0.351295892E+02   0.873497412E+00   0.138513915E+02   0.179985107E+03   0.102284870E+00   0.167339364E+00   0.175004352E+00   0.906613681E+01
  0.717000000E+02   0.615390007E-06   0.213631360E-04   0.326989156E-07  -0.618199692E-04   0.189533843E-02   0.585999999E+01   0.450368951E+00   0.147395754E+02   0.357032932E+00   0.594271262E+01   0.104270801E+03   0.582911143E-01   0.108560994E+01   0.356906795E+02   0.871187711E+00   0.140996883E+02   0.179985038E+03   0.102284870E+00   0.167340739E+00   0.175005068E+00   0.906613757E+01
  0.719500000E+02   0.620738527E-06   0.214207868E-04   0.171284751E-07  -0.627359919E-04   0.190192183E-02   0.585999999E+01   0.453991025E+00   0.149769676E+02   0.356001901E+00   0.607439908E+01   0.104270803E+03   0.582911143E-01   0.109442137E+01   0.362566131E+02   0.868760827E+00   0.143667690E+02   0.179984947E+03   0.102284870E+00   0.167342151E+00   0.175005808E+00   0.906613836E+01
  0.722000000E+02   0.626098232E-06   0.214524110E-04   0.133475059E-08  -0.636060440E-04   0.190872946E-02   0.585999999E+01   0.457675689E+00   0.152165736E+02   0.354926342E+00   0.620840578E+01   0.104270806E+03   0.582911143E-01   0.110338027E+01   0.368274677E+02   0.866217086E+00   0.146802144E+02   0.179984833E+03   0.102284870E+00   0.167343600E+00   0.175006572E+00   0.906613916E+01
