n_el  name      Q     A   Loss   Xfirst,cm   Yfirst,cm   Zfirst,cm    VXfirst     VYfirst     VZfirst     Xdev,cm     Ydev,cm     Zdev,cm     VXdev       VYdev       VZdev       Xc ,cm       Yc ,cm     Zc ,cm       O(11)       O(12)       O(13)       O(21)       O(22)       O(23)       O(31)       O(32)       O(33)   
  11  slit    7.0  14.0    -1      -1.519      -0.393     160.200  -0.0006275  -0.0000213   0.1228550      -1.519      -0.393       0.000  -0.0006275  -0.0000213   0.1228550       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -1       1.314      -0.347     160.200   0.0006914   0.0003158   0.1228705       1.314      -0.347       0.000   0.0006914   0.0003158   0.1228705       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -1       1.347       0.050     160.200   0.0007679  -0.0002459   0.1229061       1.347       0.050       0.000   0.0007679  -0.0002459   0.1229061       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -2       0.157       1.252     160.200  -0.0001927  -0.0000011   0.1228258       0.157       1.252       0.000  -0.0001927  -0.0000011   0.1228258       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -2       0.086       1.435     160.200   0.0001295  -0.0002630   0.1227938       0.086       1.435       0.000   0.0001295  -0.0002630   0.1227938       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -1      -1.254      -0.301     160.200  -0.0002690  -0.0001001   0.1228018      -1.254      -0.301       0.000  -0.0002690  -0.0001001   0.1228018       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -1       1.264      -0.307     160.200   0.0005047  -0.0002531   0.1228975       1.264      -0.307       0.000   0.0005047  -0.0002531   0.1228975       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -1       1.434       0.248     160.200   0.0009427   0.0000719   0.1228736       1.434       0.248       0.000   0.0009427   0.0000719   0.1228736       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -2       0.119       1.336     160.200   0.0002619  -0.0003581   0.1228501       0.119       1.336       0.000   0.0002619  -0.0003581   0.1228501       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -1      -1.427       0.530     160.200  -0.0004716   0.0001008   0.1228949      -1.427       0.530       0.000  -0.0004716   0.0001008   0.1228949       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -2       0.031      -1.325     160.200   0.0000689   0.0002939   0.1228528       0.031      -1.325       0.000   0.0000689   0.0002939   0.1228528       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -1      -1.284       0.552     160.200  -0.0006118  -0.0002523   0.1229126      -1.284       0.552       0.000  -0.0006118  -0.0002523   0.1229126       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -2      -0.210       1.223     160.200  -0.0003840  -0.0002597   0.1228141      -0.210       1.223       0.000  -0.0003840  -0.0002597   0.1228141       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -1       1.294      -0.234     160.200   0.0003169   0.0000747   0.1228268       1.294      -0.234       0.000   0.0003169   0.0000747   0.1228268       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -2      -0.258      -1.449     160.200  -0.0001603   0.0001368   0.1228172      -0.258      -1.449       0.000  -0.0001603   0.0001368   0.1228172       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -1       1.211      -0.554     160.200   0.0004987  -0.0000488   0.1228607       1.211      -0.554       0.000   0.0004987  -0.0000488   0.1228607       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -2       0.235      -1.229     160.200  -0.0000794   0.0000085   0.1228304       0.235      -1.229       0.000  -0.0000794   0.0000085   0.1228304       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -1       1.211      -0.256     160.200   0.0007961  -0.0001415   0.1228607       1.211      -0.256       0.000   0.0007961  -0.0001415   0.1228607       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -1      -1.411       0.294     160.200  -0.0007366   0.0002769   0.1228525      -1.411       0.294       0.000  -0.0007366   0.0002769   0.1228525       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
